Name	S2D SOPHIE	SNR co-added SOPHIE
HD171620	3	123.1
HD172669	5	175.6
HD171888	1	39.4
HD172085	2	83.3
HD171951	6	107.5
HD172558	3	84.3
HD172675	1	52.3
HD172718	8	116.5
HD172867	3	77.2
HD173739	21	67.8
HD173906	4	94.5
HD173701	117	348.2
HD174160	6	112.6
HD174080	8	113.4
HD174433	20	204.3
HD174719	1	116.0
HD175490	3	85.5
HD175425	4	75.7
HD175726	32	598.4
HD176841	1	45.9
HD176377	1	109.9
HD176441	8	134.6
HD176969	8	120.6
HD177153	1	46.3
HD177305	27	376.8
HD178911B	79	378.6
HD179079	20	255.5
HD180161	6	139.3
HD179558	11	230.4
HD180712	9	190.9
HD180083	3	105.3
HD180263	4	83.9
HD180502	3	75.9
HD180683	5	120.2
HD180684	2	59.4
HD181655	19	452.5
HD182101	1	122.2
HD182274	8	121.9
HD182335	8	107.3
HD182488	1	41.8
HD182619	274	679.4
HD183255	13	261.3
HD183162	5	91.7
HD183263	8	147.3
HD183341	1	39.4
HD183650	1	40.6
HD184467	13	358.1
HD184448	3	79.7
HD184385	1	170.9
HD184403	44	224.0
HD184499	6	208.0
HD184960	141	1245.3
HD184317	1	15.2
HD184592	3	71.6
HD184768	4	95.9
HD184962	2	66.1
HD185269	5	304.9
HD186257	5	101.9
HD186104	1	31.0
HD186413	41	244.8
HD186606	25	259.9
HD186704	23	495.8
HD186932	6	159.4
HD187160	14	323.6
HD187123	1	87.5
HD187792	4	90.0
HD187237	5	300.8
HD187748	4	187.0
HD187462	1	40.5
HD187876	4	105.7
HD187637	8	138.4
HD187548	3	77.7
HD226099	3	94.6
HD187881	4	120.9
HD187923	47	624.4
HD187897	2	202.4
HD188307	16	181.7
HD188345	4	135.9
HD189067	12	346.5
HD189733	73	324.3
HD190007	11	141.7
HD190360	74	517.4
HD190404	1	107.1
HD190470	5	101.9
HD190605	4	149.5
HD191022	36	443.5
HD195146	2	154.3
HD191649	26	597.5
HD191806	60	271.5
HD191672	4	101.4
HD192021	4	116.7
HD192557	3	130.3
HD192804	9	133.9
HD193664	115	925.7
HD195850	12	279.8
HD194035	1	88.4
HD194012	3	140.3
HD194765	15	542.4
HD195034	15	300.2
HD195104	2	86.1
HD195663	8	133.0
HD195872	13	155.7
HD195987	18	302.2
HD195988	15	427.0
HD195838	2	97.2
HD196218	10	134.6
HD196789	8	156.3
HD196850	256	979.5
HD196885A	74	947.2
HD197373	19	816.7
HD197140	11	150.4
HD197310	1	172.8
HD197488	6	116.6
HD197197	1	48.4
HD197396	12	116.6
HD197666	4	90.3
HD197623	3	86.4
HD198089	1	69.3
HD198109	4	94.8
HD198075	1	42.9
HD198425	40	190.2
HD199476	1	121.4
HD199305	9	95.0
HD199100	1	60.8
HD199086	1	75.4
HD199598	1	157.0
HD200078	4	106.8
HD200254	4	97.3
HD200580	2	136.8
HD200779	3	64.7
HD200877	5	188.6
HD201651	127	490.7
HD201219	33	209.9
HD201456	18	181.9
HD201701	10	150.1
HD201545	8	126.4
HD201924	84	396.0
HD201891	11	175.9
HD201876	17	172.3
HD202108	10	301.1
HD202575	3	152.9
HD202884	8	128.4
HD203185	7	141.9
HD203345	1	65.4
HD204426	2	61.5
HD203698	5	135.9
HD204521	21	520.0
HD204093	4	101.3
HD205521	20	148.3
HD204277	98	503.3
HD204363	5	165.8
HD204559	10	164.3
HD204814	36	353.9
HD204712	25	226.0
HD205286	162	436.3
HD205354	3	82.3
HD205702	2	79.5
HD206116	1	32.3
HD206374	12	292.6
HD206913	12	181.5
HD206658	3	116.7
HD206860	39	700.0
HD207485	7	228.7
HD207740	4	84.2
HD207839	17	203.6
HD207966A	4	108.7
HD207874	11	201.5
HD208038	9	110.4
HD208930	14	398.2
HD208787	6	134.7
HD209942	6	86.6
HD208776	3	155.3
HD208906	9	161.6
HD209203	1	39.7
HD209262	42	392.6
HD209393	6	110.1
HD209347	16	161.4
HD209458	44	494.1
HD209858	6	104.9
HD209875	2	67.4
HD210144	31	344.9
HD211681	30	196.7
HD210483	12	323.1
HD210902	40	473.1
HD210553	7	110.6
HD210667	3	93.6
HD210731	8	286.4
HD210772	11	142.5
HD210752	1	46.9
HD210944	3	88.3
HD210947	7	123.5
HD210985	1	195.6
HD211275	5	147.2
HD211472	47	382.9
HD211419	6	112.1
HD211476	3	79.3
HD211662	4	91.8
HD211786	5	102.7
HD212265	5	124.2
HD212106	12	191.1
HD212107	6	125.3
HD211976	103	1133.0
HD211985	2	68.4
HD211987	4	95.6
HD212291	7	132.3
HD212585	44	237.1
HD212858	10	131.0
HD213101	3	88.9
HD213575	37	366.9
HD214435	5	128.1
HD214576	2	304.5
HD214560	3	75.5
HD215065	25	435.2
HD215028	1	54.3
HD215152	7	180.1
HD215274	3	80.8
HD215257	5	200.2
HD215309	4	92.7
HD215500	31	451.2
HD215588	60	1078.3
HD215704	1	56.7
HD216520	16	167.9
HD215942	7	107.4
HD216175	24	273.8
HD216275	1	57.0
HD216417	2	93.4
HD216631	12	163.1
HD216625	18	519.0
HD216899	9	87.7
51 Peg	251	529.8
HD217107	1	323.4
HD217165	1	287.9
HD217523	4	85.5
HD217618	2	85.8
HD217877	2	150.0
